"county","med_household_income"
"Alamance County",50480
"Alexander County",49138
"Alleghany County",39735
"Anson County",38023
"Ashe County",41864
"Avery County",41701
"Beaufort County",46411
"Bertie County",35433
"Bladen County",36976
"Brunswick County",60163
"Buncombe County",53960
"Burke County",44946
"Cabarrus County",69297
"Caldwell County",43328
"Camden County",65955
"Carteret County",55052
"Caswell County",45517
"Catawba County",53738
"Chatham County",73703
"Cherokee County",41262
"Chowan County",42618
"Clay County",42878
"Cleveland County",42728
"Columbus County",36862
"Craven County",50748
"Cumberland County",46779
"Currituck County",64426
"Dare County",64768
"Davidson County",47758
"Davie County",60801
"Duplin County",42725
"Durham County",59329
"Edgecombe County",38818
"Forsyth County",50112
"Franklin County",57710
"Gaston County",52798
"Gates County",51746
"Graham County",39502
"Granville County",58956
"Greene County",43591
"Guilford County",52166
"Halifax County",36760
"Harnett County",51225
"Haywood County",47183
"Henderson County",54012
"Hertford County",38216
"Hoke County",47892
"Hyde County",40653
"Iredell County",60044
"Jackson County",44502
"Johnston County",60296
"Jones County",43302
"Lee County",48984
"Lenoir County",40433
"Lincoln County",62963
"McDowell County",43972
"Macon County",46426
"Madison County",44693
"Martin County",43569
"Mecklenburg County",64509
"Mitchell County",43967
"Montgomery County",47757
"Moore County",59471
"Nash County",50122
"New Hanover County",53419
"Northampton County",37233
"Onslow County",50531
"Orange County",71920
"Pamlico County",46447
"Pasquotank County",46355
"Pender County",54900
"Perquimans County",48337
"Person County",50149
"Pitt County",43303
"Polk County",50467
"Randolph County",48372
"Richmond County",38514
"Robeson County",35407
"Rockingham County",41869
"Rowan County",46864
"Rutherford County",42831
"Sampson County",42807
"Scotland County",36730
"Stanly County",51491
"Stokes County",50826
"Surry County",46342
"Swain County",43121
"Transylvania County",51398
"Tyrrell County",36765
"Union County",80428
"Vance County",40263
"Wake County",80169
"Warren County",38430
"Washington County",36042
"Watauga County",48489
"Wayne County",41572
"Wilkes County",44080
"Wilson County",44015
"Yadkin County",49070
"Yancey County",44756
